issuer,issue_date,listing_date,issue_price,listing_day_close,listing_day_return,status
Shri Kanha Stainless Limited,2025-12-03,2025-12-10,90.0,83.6,-0.07111111111111118,listed_alive
Neochem Bio Solutions Limited,2025-12-02,2025-12-09,98.0,111.8,0.1408163265306122,listed_alive
Invicta Diagnostic Limited,2025-12-01,2025-12-08,85.0,96.7,0.13764705882352946,listed_alive
Clear Secured Services Limited,2025-12-01,2025-12-08,132.0,113.05,-0.14356060606060608,listed_alive
Speb Adhesives Limited,2025-12-01,2025-12-08,56.0,57.0,0.017857142857142856,listed_alive
Sudeep Pharma Limited,2025-11-21,2025-11-28,593.0,774.15,0.30548060708263064,listed_alive
Excelsoft Technologies Limited,2025-11-19,2025-11-26,120.0,125.97,0.04974999999999999,listed_alive
Capillary Technologies India Limited,2025-11-14,2025-11-21,577.0,606.5,0.0511265164644714,listed_alive
Fujiyama Power Systems Limited,2025-11-13,2025-11-20,228.0,208.44,-0.08578947368421054,listed_alive
Tenneco Clean Air India Limited,2025-11-12,2025-11-19,397.0,490.8,0.23627204030226703,listed_alive
Physicswallah Limited,2025-11-11,2025-11-18,109.0,155.24,0.42422018348623863,listed_alive
Emmvee Photovoltaic Power Limited,2025-11-11,2025-11-18,217.0,219.4,0.011059907834101408,listed_alive
Pine Labs Limited,2025-11-07,2025-11-14,221.0,250.89,0.1352488687782805,listed_alive
Curis Lifesciences Limited,2025-11-07,2025-11-14,128.0,141.0,0.1015625,listed_alive
Finbud Financial Services Limited,2025-11-06,2025-11-13,142.0,164.85,0.16091549295774643,listed_alive
Billionbrains Garage Ventures Limited,2025-11-04,2025-11-12,100.0,131.33,0.31330000000000013,listed_alive
Shreeji Global FMCG Limited,2025-11-04,2025-11-12,125.0,101.7,-0.18639999999999998,listed_alive
Lenskart Solutions Limited,2025-10-31,2025-11-10,402.0,403.1,0.0027363184079602556,listed_alive
Studds Accessories Limited,2025-10-30,2025-11-07,585.0,560.3,-0.0422222222222223,listed_alive
Orkla India Limited,2025-10-29,2025-11-06,730.0,713.65,-0.022397260273972635,listed_alive
Jayesh Logistics Limited,2025-10-27,2025-11-03,122.0,117.8,-0.034426229508196744,listed_alive
SMC Global Securities Limited,2025-10-16,,,,,listed_alive
Midwest Limited,2025-10-15,2025-10-24,1065.0,1140.5,0.07089201877934272,listed_alive
Canara HSBC Life Insurance Company Limited,2025-10-10,2026-03-17,,,,listed_alive
Canara Robeco Asset Management Company Limited,2025-10-09,2025-10-16,266.0,300.45,0.1295112781954887,listed_alive
Rubicon Research Limited,2025-10-09,2025-10-16,485.0,628.2,0.295257731958763,listed_alive
LG Electronics India Limited,2025-10-07,2025-10-14,1140.0,1689.9,0.48236842105263167,listed_alive
Anantam Highways Trust,2025-10-07,2025-10-16,100.0,105.37,0.053700000000000046,listed_alive
Surat Municipal Corporation,2025-10-06,2025-10-14,500.0,,,listed_alive
Tata Capital Limited,2025-10-06,2026-07-09,,,,listed_alive
WeWork India Management Limited,2025-10-03,2025-10-10,648.0,628.65,-0.029861111111111147,listed_alive
Advance Agrolife Limited,2025-09-30,2025-10-08,100.0,108.3,0.08299999999999998,listed_alive
Greenleaf Envirotech Limited,2025-09-30,2025-10-09,136.0,132.9,-0.02279411764705878,listed_alive
B.A.G. Convergence Limited,2025-09-30,2025-10-08,87.0,106.05,0.21896551724137928,listed_alive
Munish Forge Limited,2025-09-30,2025-10-08,96.0,110.25,0.1484375,listed_alive
Sheel Biotech Limited,2025-09-30,2025-10-08,63.0,95.55,0.5166666666666666,listed_alive
Fabtech Technologies Limited,2025-09-29,2025-10-07,191.0,182.4,-0.04502617801047117,listed_alive
